XLSTAT 2019.4.2.12345 - ANOVA - Start time: 2020-12-03 at 09:32:26 / End time: 2020-12-03 at 09:32:45 / Microsoft Excel 16.431108,,,,,,,,,,,
Y / Dependent variables: Workbook = frogs.csv / Sheet = frogs / Range = frogs!$A:$A / 3272 rows and 1 column,,,,,,,,,,,
X / Qualitative: Workbook = frogs.csv / Sheet = frogs / Range = 'frogs'!$E:$E / 3272 rows and 1 column,,,,,,,,,,,
Constraints: an=0,,,,,,,,,,,
Confidence interval (%): 95,,,,,,,,,,,
Tolerance: 0.0001,,,,,,,,,,,
Use least squares means: Yes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary statistics (Quantitative data):,,,,,,,,,,,
,,,,,,,,,,,
Variable,Observations,Obs. with missing data,Obs. without missing data,Minimum,Maximum,Mean,Std. deviation,,,,
distance,3272,0,3272,0,220,124,52,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Summary statistics (Qualitative data):,,,,,,,,,,,
,,,,,,,,,,,
Variable,Categories,Counts,Frequencies,%,,,,,,,
frog_type,individual,88,88,3,,,,,,,
,pro,2512,2512,77,,,,,,,
,rental,590,590,18,,,,,,,
,unknown,82,82,3,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Correlation matrix:,,,,,,,,,,,
,,,,,,,,,,,
,frog_type-individual,frog_type-pro,frog_type-rental,frog_type-unknown,distance,,,,,,
frog_type-individual,1,0,0,0,0,,,,,,
frog_type-pro,0,1,-1,0,0,,,,,,
frog_type-rental,0,-1,1,0,0,,,,,,
frog_type-unknown,0,0,0,1,0,,,,,,
distance,0,0,0,0,1,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Regression of variable distance:,,,,,,,,,,,
,,,,,,,,,,,
Goodness of fit statistics (distance):,,,,,,,,,,,
,,,,,,,,,,,
Observations,3272,,,,,,,,,,
Sum of weights,3272,,,,,,,,,,
DF,3268,,,,,,,,,,
R_,0.183277,,,,,,,,,,
Adjusted R_,0,,,,,,,,,,
MSE,2222,,,,,,,,,,
RMSE,47,,,,,,,,,,
DW,1,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Analysis of variance  (distance):,,,,,,,,,,,
,,,,,,,,,,,
Source,DF,Sum of squares,Mean squares,F,Pr > F,,,,,,
Model,3.0000,1629227.8874,543075.9625,244.4522,< 0.0001,,,,,,
Error,3268.0000,7260201.3004,2221.6038,,,,,,,,
Corrected Total,3271.0000,8889429.1877,,,,,,,,,
Computed against model Y=Mean(Y),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Model parameters (distance):,,,,,,,,,,,
,,,,,,,,,,,
Source,Value,Standard error,t,Pr > |t|,Lower bound (95%),Upper bound (95%),,,,,
Intercept,98,5,19,< 0.0001,88,108,,,,,
frog_type-individual,-2,7,0,1,-16,12,,,,,
frog_type-pro,38,5,7,< 0.0001,27,48,,,,,
frog_type-rental,-19,6,-3,0,-29,-8,,,,,
frog_type-unknown,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Equation of the model (distance):,,,,,,,,,,,
,,,,,,,,,,,
distance = 98.25373-2.1851*frog_type-individual+37.57383*frog_type-pro-18.5006*frog_type-rental,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Standardized coefficients (distance):,,,,,,,,,,,
,,,,,,,,,,,
Source,Value,Standard error,t,Pr > |t|,Lower bound (95%),Upper bound (95%),,,,,
